mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.714353640874227,0.10155381340493845,0.3154999415079753,0.002449045689512874,0.7,0.05,5,10,700,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.7}",-0.17264781892299652,-0.17491403222084045,-0.17218513786792755,-0.17324899633725485,0.0011924140248254723,16
4.851466019948323,0.416213877446933,0.29327932993570965,0.020568545571432815,0.7,0.05,5,20,700,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.8}",-0.1727217137813568,-0.17523731291294098,-0.17201873660087585,-0.1733259210983912,0.0013816917723368741,17
4.676689863204956,0.15934367464479976,0.31869928042093915,0.025751181141420942,0.8,0.05,5,20,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.8}",-0.17252349853515625,-0.17543737590312958,-0.1723838746547699,-0.17344824969768524,0.0014076791781469176,18
4.074928681055705,0.31719569259047425,0.2531534830729167,0.011734507325229036,0.8,0.05,5,20,700,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.7}",-0.17307111620903015,-0.17575041949748993,-0.1727209985256195,-0.1738475114107132,0.0013531297026029262,19
5.765946626663208,0.029321348542727162,0.4281175931294759,0.03521409557704797,0.8,0.03,5,10,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.8}",-0.1728057861328125,-0.17581145465373993,-0.17305982112884521,-0.17389235397179922,0.001360966327129691,20
5.116857051849365,0.16681581179814836,0.2895178000132243,0.016700675197035435,0.7,0.05,5,20,700,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.7}",-0.17327149212360382,-0.17567667365074158,-0.17286962270736694,-0.17393926282723746,0.0012394412811555097,21
8.696971734364828,2.077848893840947,0.45369593302408856,0.016441815242763034,0.7,0.03,5,10,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.8}",-0.17303206026554108,-0.1758566051721573,-0.17306965589523315,-0.17398610711097717,0.0013227309138046967,22
4.593559741973877,0.2542184968119045,0.32414714495340985,0.030340240349755274,0.8,0.05,5,30,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.8}",-0.17312610149383545,-0.17594997584819794,-0.17307861149311066,-0.174051562945048,0.001342520636260215,23
4.9903724193573,0.22748057944623715,0.34438419342041016,0.03053275900556398,0.7,0.05,5,30,700,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.8}",-0.1731245070695877,-0.17600126564502716,-0.1730756312608719,-0.17406713465849558,0.0013677826864346568,24
6.816315491994222,0.15893249148054536,0.4070306619008382,0.01887960399332654,0.8,0.03,5,10,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.7}",-0.17341196537017822,-0.1760915070772171,-0.17341405153274536,-0.17430584132671356,0.00126265664834364,25
7.037658055623372,0.14914919959800768,0.475360631942749,0.026516159103225464,0.7,0.03,5,10,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.7}",-0.17348988354206085,-0.1761087030172348,-0.173361137509346,-0.17431990802288055,0.001265960645545525,26
4.96533187230428,0.060563263896916776,0.32717617352803546,0.016211536320581466,0.8,0.05,5,30,700,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.7}",-0.1736266016960144,-0.17604757845401764,-0.17342554032802582,-0.17436657349268594,0.0011914807813363075,27
6.518940289815267,0.35663142890446126,0.4749935468037923,0.03721905994999782,0.8,0.03,5,20,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.8}",-0.1734340786933899,-0.17637209594249725,-0.1736130267381668,-0.17447306712468466,0.0013448019529146082,28
4.799503644307454,0.0670737781438042,0.30434203147888184,0.007441476190362991,0.7,0.05,5,30,700,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.7}",-0.17374886572360992,-0.17621852457523346,-0.17348261177539825,-0.17448333402474722,0.001231770399630047,29
4.973593552907308,0.23640102424671483,0.3328041235605876,0.016035293673633384,0.8,0.05,4,10,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.8}",-0.17350423336029053,-0.1765056848526001,-0.17348265647888184,-0.17449752489725748,0.0014200108438867777,30
5.999066273371379,0.25602224110626465,0.4294554392496745,0.040869517997915786,0.7,0.03,5,20,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.8}",-0.17357395589351654,-0.17652608454227448,-0.17341019213199615,-0.17450341085592905,0.0014318080116813728,31
